runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domCandidateMonoMs,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.responseToDomMs,attr.result,attr.selectedMinutes,attr.sequence,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.snapshotButtons,attr.snapshotDialogLabel,attr.snapshotDialogTitle,attr.snapshotDisabledButtonCount,attr.snapshotFingerprint,attr.snapshotHeadings,attr.snapshotRunState,attr.snapshotTextSnippet,attr.snapshotUrlKind,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCandidateFound,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeReason,attr.wakeRequestSequence,attr.wakeScanCount,attr.wakeToDomMs,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784041128670""","=""2026-07-14 23:58:48.670""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784041128673""","=""2026-07-14 23:58:48.673""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784041128673""","=""2026-07-14 23:58:48.673""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784041128674""","=""2026-07-14 23:58:48.674""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784041129050""","=""2026-07-14 23:58:49.050""","=""1784041128688.5999""","=""2026-07-14 23:58:48.688""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,373.7999999988824,373.7999999988824,1784041124817.5,1784041124130.6,-361,1784041125504.4,373.7999999988824,bootstrap,1,APP_HEAD_HTTP_DATE,686.89990234375,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784041129051""","=""2026-07-14 23:58:49.051""","=""1784041128690.2""","=""2026-07-14 23:58:48.690""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784041131163""","=""2026-07-14 23:58:51.163""","=""1784041130614.3""","=""2026-07-14 23:58:50.614""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",8,AVAILABILITY_SHADOW,trace,content,"=""1784041131952""","=""2026-07-14 23:58:51.952""","=""1784041131402.7002""","=""2026-07-14 23:58:51.402""",ENTERING_RESERVATION,슬롯 응답 shadow를 EMPTY로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,6639.5999999996275,,,0.900000000372529,131.5,6771.5999999996275,,,none,EMPTY,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,false,,,,,,6640.0999999996275,2,body,,,,,,260715,6538.0999999996275,1,6639.5,200,,,,1,,,,,,,,,,,,,,false,,,,,,,,,,,,,,false,6772.5,,,untrusted_quality,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",9,STATE_CHANGED,trace,content,"=""1784041132032""","=""2026-07-14 23:58:52.032""","=""1784041131482.8""","=""2026-07-14 23:58:51.482""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",10,ACTION_PERFORMED,trace,content,"=""1784041132067""","=""2026-07-14 23:58:52.067""","=""1784041131517.7002""","=""2026-07-14 23:58:51.517""",,2026-08-02 날짜를 선택했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",11,AVAILABILITY_SHADOW,trace,content,"=""1784041132498""","=""2026-07-14 23:58:52.498""","=""1784041131948.8""","=""2026-07-14 23:58:51.948""",SELECTING_DATE,슬롯 응답 shadow를 EMPTY로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,7280.699999999255,,,0.09999999962747097,38.5,7319.199999999255,,,none,EMPTY,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,false,,,,,,7280.699999999255,2,body,,,,,,260802,7236.799999998882,2,7280.699999999255,200,,,,2,,,,,,,,,,,,,,false,,,,,,,,,,,,,,false,7319.299999998882,,,untrusted_quality,,,,,,,,
run-5881d898-a394-4244-a694-07e2d5ea0205,0.2.0,"=""1784041128670""","=""2026-07-14 23:58:48.670""","=""1784041208018""","=""2026-07-15 00:00:08.018""",HANDED_OFF,25,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":false,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",12,STATE_CHANGED,trace,content,"=""1784041133032""","=""2026-07-14 23:58:53.032""","=""1784041132299.45""","=""2026-07-14 23:58:52.299""",SELECTING_PERSON,예약 인원을 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
