runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domCandidateMonoMs,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStatus,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.responseToDomMs,attr.result,attr.selectedMinutes,attr.sequence,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCandidateFound,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeReason,attr.wakeRequestSequence,attr.wakeScanCount,attr.wakeToDomMs,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784078925556""","=""2026-07-15 10:28:45.556""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784078925556""","=""2026-07-15 10:28:45.556""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784078925556""","=""2026-07-15 10:28:45.556""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784078925557""","=""2026-07-15 10:28:45.557""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784078925615""","=""2026-07-15 10:28:45.615""","=""1784078925529.2002""","=""2026-07-15 10:28:45.529""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,57.20000000298023,57.20000000298023,1784078925069.7002,1784078924541.1,-86,1784078925598.3,57.20000000298023,bootstrap,1,APP_HEAD_HTTP_DATE,528.5999755859375,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784078925616""","=""2026-07-15 10:28:45.616""","=""1784078925530.1""","=""2026-07-15 10:28:45.530""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784078927486""","=""2026-07-15 10:28:47.486""","=""1784078927400.9001""","=""2026-07-15 10:28:47.400""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",8,AVAILABILITY_SHADOW,trace,content,"=""1784078927884""","=""2026-07-15 10:28:47.884""","=""1784078927798.7002""","=""2026-07-15 10:28:47.798""",ENTERING_RESERVATION,슬롯 응답 shadow를 POPULATED로 분류했습니다.,,,,,,,,,,,,,,,,,3,"1080,1140,1200",,,,2620.89999999851,,,0.7000000029802322,107.09999999403954,2728.1999999955297,,,none,POPULATED,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,false,,,,,,2621.10000000149,2,body,,,,,,,260715,2440.89999999851,1,2620.89999999851,200,,,1080,1,,,,,false,,,,,,,,,,,,,,false,2728.89999999851,,,untrusted_quality,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",9,STATE_CHANGED,trace,content,"=""1784078927920""","=""2026-07-15 10:28:47.920""","=""1784078927834.8003""","=""2026-07-15 10:28:47.834""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",10,ACTION_PERFORMED,trace,content,"=""1784078927929""","=""2026-07-15 10:28:47.929""","=""1784078927843.0002""","=""2026-07-15 10:28:47.843""",,2026-08 달력으로 이동합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",11,ACTION_PERFORMED,trace,content,"=""1784078928027""","=""2026-07-15 10:28:48.027""","=""1784078929781.75""","=""2026-07-15 10:28:49.781""",,2026-08-21 날짜를 선택했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",12,STATE_CHANGED,trace,content,"=""1784078928226""","=""2026-07-15 10:28:48.226""","=""1784078929980.55""","=""2026-07-15 10:28:49.980""",SELECTING_PERSON,예약 인원을 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",13,STATE_CHANGED,trace,content,"=""1784078928229""","=""2026-07-15 10:28:48.229""","=""1784078929982.8499""","=""2026-07-15 10:28:49.982""",PREPARING_PAGE,예약 모달과 목표 날짜를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PREPARING_PAGE,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",14,STATE_CHANGED,trace,content,"=""1784078928232""","=""2026-07-15 10:28:48.232""","=""1784078929985.75""","=""2026-07-15 10:28:49.985""",WAITING_FOR_OPEN,예약 오픈 직전까지 대기합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAITING_FOR_OPEN,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",15,CLOCK_SYNCED,trace,content,"=""1784078928232""","=""2026-07-15 10:28:48.232""","=""1784078929985.95""","=""2026-07-15 10:28:49.985""",,예약 오픈 직전 진입 시점을 결정했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985.3500000014901,1839.749755859375,1,MEDIUM,2,116,2403.7000000029802,1784078926909.45,1784078926424.2,1754,1784078927394.7,200.10000000149012,armed,3,APP_HEAD_HTTP_DATE,485.25,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",16,AVAILABILITY_SHADOW,trace,content,"=""1784078928308""","=""2026-07-15 10:28:48.308""","=""1784078930062.3499""","=""2026-07-15 10:28:50.062""",WAITING_FOR_OPEN,슬롯 응답 shadow를 EMPTY로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,3113.2999999970198,,,0.10000000149011612,39.5,3152.7999999970198,,,none,EMPTY,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,false,,,,,,3113.2999999970198,2,body,,,,,,,260821,3025.6999999955297,2,3113.2999999970198,200,,,,2,,,,,false,,,,,,,,,,,,,,false,3152.89999999851,,,untrusted_quality,,,,,,,,
run-4a6c3616-af72-4f71-9a35-10d6b25d0b12,0.2.0,"=""1784078925555""","=""2026-07-15 10:28:45.555""","=""1784079003137""","=""2026-07-15 10:30:03.137""",HANDED_OFF,39,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-21,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079600000""","=""2026-07-15 10:40:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-21"",""stopAtMs"":1784079600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",17,STATE_CHANGED,trace,content,"=""1784078998630""","=""2026-07-15 10:29:58.630""","=""1784078999030.7998""","=""2026-07-15 10:29:59.030""",REFRESHING_SLOTS,날짜 토글로 예약 슬롯을 갱신합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REFRESHING_SLOTS,,,,,,,,,,,,,,,,,,,,,,,,,
