runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToExitMs,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domMinutes,attr.domObservedMonoMs,attr.emptyEarlyExitApplied,attr.eventKind,attr.exitAtMonoMs,attr.finalDomCandidateFound,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStatus,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.result,attr.selectedMinutes,attr.sequence,attr.signalKind,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetStillSelected,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeRequestSequence,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784165327185""","=""2026-07-16 10:28:47.185""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784165327186""","=""2026-07-16 10:28:47.186""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784165327186""","=""2026-07-16 10:28:47.186""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784165327187""","=""2026-07-16 10:28:47.187""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784165327244""","=""2026-07-16 10:28:47.244""","=""1784165327529""","=""2026-07-16 10:28:47.529""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,57,57,1784165325588.4,1784165325059.9,285,1784165326116.9,57,bootstrap,1,APP_HEAD_HTTP_DATE,528.5,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784165327245""","=""2026-07-16 10:28:47.245""","=""1784165327529.5""","=""2026-07-16 10:28:47.529""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784165329502""","=""2026-07-16 10:28:49.502""","=""1784165329757.4497""","=""2026-07-16 10:28:49.757""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",8,AVAILABILITY_SHADOW,trace,content,"=""1784165330703""","=""2026-07-16 10:28:50.703""","=""1784165330959.0498""","=""2026-07-16 10:28:50.959""",ENTERING_RESERVATION,슬롯 응답 shadow를 EMPTY로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,5018.5,,,,0.6000000014901161,379.3999999985099,5398.39999999851,,,none,EMPTY,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,false,,,,,,5019,2,body,,,,,,,260819,4497.60000000149,1,5018.5,200,,,1,,,,,,false,,,,,,,,,,,,,,,false,5399,,untrusted_quality,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",9,STATE_CHANGED,trace,content,"=""1784165330754""","=""2026-07-16 10:28:50.754""","=""1784165331009.4497""","=""2026-07-16 10:28:51.009""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",10,STATE_CHANGED,trace,content,"=""1784165330791""","=""2026-07-16 10:28:50.791""","=""1784165331046.4497""","=""2026-07-16 10:28:51.046""",SELECTING_PERSON,예약 인원을 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_PERSON,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",11,ACTION_PERFORMED,trace,content,"=""1784165331325""","=""2026-07-16 10:28:51.325""","=""1784165331581.2498""","=""2026-07-16 10:28:51.581""",,3명으로 설정했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",12,STATE_CHANGED,trace,content,"=""1784165331522""","=""2026-07-16 10:28:51.522""","=""1784165331777.2498""","=""2026-07-16 10:28:51.777""",PREPARING_PAGE,예약 모달과 목표 날짜를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PREPARING_PAGE,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",13,STATE_CHANGED,trace,content,"=""1784165331556""","=""2026-07-16 10:28:51.556""","=""1784165331812.0498""","=""2026-07-16 10:28:51.812""",WAITING_FOR_OPEN,예약 오픈 직전까지 대기합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAITING_FOR_OPEN,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",14,CLOCK_SYNCED,trace,content,"=""1784165331586""","=""2026-07-16 10:28:51.586""","=""1784165331842.0498""","=""2026-07-16 10:28:51.842""",,예약 오픈 직전 진입 시점을 결정했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3575.950024418533,-1,0,LOW,2,76.30000000447035,134,1784165325559.5498,1784165325059.9,256,1784165326059.2,76.30000000447035,armed,2,APP_HEAD_HTTP_DATE,499.6500244140625,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",15,AVAILABILITY_SHADOW,trace,content,"=""1784165331857""","=""2026-07-16 10:28:51.857""","=""1784165332112.3499""","=""2026-07-16 10:28:52.112""",WAITING_FOR_OPEN,슬롯 응답 shadow를 EMPTY로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,6406.70000000298,,,,0.09999999403953552,146,6552.70000000298,,,none,EMPTY,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,false,,,,,,6406.70000000298,3,body,,,,,,,260819,6062.60000000149,2,6406.70000000298,200,,,2,,,,,,false,,,,,,,,,,,,,,,false,6552.79999999702,,untrusted_quality,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",16,STATE_CHANGED,trace,content,"=""1784165396208""","=""2026-07-16 10:29:56.208""","=""1784165396428.0999""","=""2026-07-16 10:29:56.428""",REFRESHING_SLOTS,날짜 토글로 예약 슬롯을 갱신합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REFRESHING_SLOTS,,,,,,,,,,,,,,,,,,,,,,
run-85a4f2c0-9ca5-41ac-b3b6-0334b53cf2f2,0.2.0,"=""1784165327185""","=""2026-07-16 10:28:47.185""","=""1784165403144""","=""2026-07-16 10:30:03.144""",HANDED_OFF,53,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-19,3,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",1020,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":3,""postSlotEnabled"":true,""preOpenLeadMs"":3000,""priorityTimes"":[],""reservationDate"":""2026-08-19"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",17,AVAILABILITY_SHADOW,trace,content,"=""1784165396469""","=""2026-07-16 10:29:56.469""","=""1784165396688.5""","=""2026-07-16 10:29:56.688""",REFRESHING_SLOTS,슬롯 응답 shadow를 IRRELEVANT로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,71146,,,,0,16,71162,,,none,IRRELEVANT,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,false,,,,,,71146,3,body,,,,,,,260818,71062.70000000298,3,71146,0,,,3,,,,,,false,,,,,,,,,,,,,,,false,71162,,untrusted_quality,,,,,
